ids,followers,monthly_listeners,popularity,num_releases,num_tracks,playlists_distintas,antiguedad,genero,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
7gXb99Sf9nNmpNYeAgIQFG,1663080.0,6036882.0,62.0,10.0,1.0,1.0,7.0,pop,0.346,0.7905,0.523,8.72e-06,0.245,-8.189499999999999,0.1945,124.139,0.6285000000000001
7gcCQIlkkfbul5Mt0jBQkg,37199.0,17291995.5,69.0,20.0,12.0,1.0,37.0,pop,0.225,0.692,0.711,0.0,0.12,-7.498,0.0317,125.135,0.875
7gf4unCQOlGg7UD38XzqPd,14603.0,55873.0,32.0,5.0,11.0,1.0,14.0,sin genero,0.788,0.576,0.445,0.0421,0.103,-10.618,0.0284,126.666,0.641
7gfuxIgr15DM6ZgZyFCd1N,412.0,6126.0,21.0,5.0,1.0,1.0,4.0,instrumental,0.118,0.599,0.766,0.0,0.534,-4.761,0.0822,79.028,0.806
7giUHu5pv6YTZgSkxxCcgh,1012746.5,6028440.357142857,63.0,11.0,1.0,2.0,18.0,rock,0.26849999999999996,0.536,0.6114999999999999,0.0005614999999999999,0.1374,-6.191000000000001,0.03145,111.64,0.121
7gjAu1qr5C2grXeQFFOGeh,1225686.0,2287353.0,54.0,16.0,6.0,1.0,16.0,rock,0.0338,0.566,0.755,0.0,0.315,-5.526,0.0368,101.006,0.445
7gmNO7Sv6EFNtxJ7JTgeaC,10203.0,414197.0,44.0,3.0,1.0,1.0,3.0,otro,0.014,0.747,0.922,0.0277,0.062,-3.287,0.0302,128.056,0.299
7guDJrEfX3qb6FEbdPA5qi,6362921.8,19086550.6,74.0,20.0,12.0,4.0,55.0,otro,0.3136666666666667,0.5253333333333333,0.559,5.233333333333333e-07,0.21643333333333334,-9.747,0.037233333333333334,98.242,0.5033333333333333
7gxxE0IbP9hFZeJVwdWCSc,669.0,99366.0,36.0,8.0,24.0,1.0,59.0,instrumental,0.97,0.26,0.356,0.0307,0.161,-13.189,0.0458,90.442,0.151
7h4j9YTJJuAHzLCc3KCvYu,507900.0,2588183.0,60.0,20.0,1.0,1.0,18.0,pop,0.835,0.514,0.206,0.0,0.114,-13.578,0.032,75.874,0.127
7h7pPNSsoz0NnyDmIqY7OT,22009.0,94453.0,38.0,11.0,1.0,1.0,5.0,otro,0.946,0.5035000000000001,0.228,0.8999999999999999,0.108,-20.2525,0.0404,119.96100000000001,0.727
7hCuNVmOMT7ntattMgmL96,17979.0,1677628.5,53.333333333333336,10.0,1.0,1.0,4.0,otro,0.992,0.409,0.0191,0.912,0.0981,-31.753,0.0324,104.164,0.181
7hJcb9fa4alzcOq3EaNPoG,11473609.666666666,26948434.4,79.93333333333334,20.0,22.0,9.0,13.0,r&b,0.08929553333333334,0.8028,0.7246,3.635333333333333e-05,0.24944,-5.7206,0.20426666666666668,106.15686666666667,0.6004666666666666
7hKEIXWtAS2LHVE8FK4kQx,29102.0,263876.5,45.0,20.0,1.0,1.0,2.0,hip hop,0.396,0.762,0.699,0.0496,0.168,-6.387,0.366,149.922,0.192
7hKH0uNhhgWJCumCtKMYey,37845.0,172853.33333333334,40.0,20.0,1.0,1.0,5.0,coreano,0.0209,0.498,0.904,0.0,0.116,-5.107,0.0547,133.988,0.338
7hZPqfKfcyqVgLOQ5vOGk8,220.5,210257.0,40.5,8.0,2.0,2.0,3.0,instrumental,0.987,0.585,0.06805,0.935,0.108,-20.7455,0.057050000000000003,98.015,0.323
7hhoMvZJRwEdjJUBpuWiDk,55058.0,109894.0,30.0,4.0,10.0,1.0,32.0,rock,0.00968,0.617,0.838,0.0,0.105,-8.577,0.0498,134.639,0.686
7hj7ffJe6UkF1gsMpuweSI,1410114.0,1194481.0,53.0,20.0,1.0,1.0,6.0,hip hop,0.19271,0.7424999999999999,0.552,0.0,0.3275,-6.7235,0.307,85.69800000000001,0.518
