dates,ids,names,monthly_listeners,popularity,followers,genres,first_release,last_release,num_releases,num_tracks,playlists_found,feat_track_ids,followers_zscore,monthly_listeners_zscore
2024-04-26,181bsRPaVXVlUKXrxwZfHK,megan thee stallion,24883240.0,76.0,8936048.0,"houston rap, pop, r&b, rap, trap queen",2017.0,2024.0,20.0,8.0,Get Turnt,"7mOC6phfrfz3jfigg1aGsE, 7mOC6phfrfz3jfigg1aGsE, 7mOC6phfrfz3jfigg1aGsE, 4YQImHflXSiIMXntcwPkx8, 4HyVMzg0sUQsdOxRvSO8Ka, 5zNW5ARjYhJQJz1AChP33n, 3BFxkzhkESwALQxjxOVFgJ, 7mOC6phfrfz3jfigg1aGsE, 79AHPJd8upvNxyK2qQcY8J, 7mOC6phfrfz3jfigg1aGsE, 7mOC6phfrfz3jfigg1aGsE, 7mOC6phfrfz3jfigg1aGsE, 37kP0yUo66nRnFHtC5rV1M, 5zFglKYiknIxks8geR8rcL, 3JR0ducCexKbeK47g6AHm5, 7mFj0LlWtEJaEigguaWqYh, 7mOC6phfrfz3jfigg1aGsE, 7mOC6phfrfz3jfigg1aGsE, 7mOC6phfrfz3jfigg1aGsE, 4YQImHflXSiIMXntcwPkx8, 4HyVMzg0sUQsdOxRvSO8Ka, 5zNW5ARjYhJQJz1AChP33n, 3BFxkzhkESwALQxjxOVFgJ, 7mOC6phfrfz3jfigg1aGsE, 79AHPJd8upvNxyK2qQcY8J, 7mOC6phfrfz3jfigg1aGsE, 7mOC6phfrfz3jfigg1aGsE, 7mOC6phfrfz3jfigg1aGsE, 37kP0yUo66nRnFHtC5rV1M, 5zFglKYiknIxks8geR8rcL, 3JR0ducCexKbeK47g6AHm5, 7mFj0LlWtEJaEigguaWqYh, 7mOC6phfrfz3jfigg1aGsE, 7mOC6phfrfz3jfigg1aGsE, 7mOC6phfrfz3jfigg1aGsE, 4YQImHflXSiIMXntcwPkx8, 4HyVMzg0sUQsdOxRvSO8Ka, 5zNW5ARjYhJQJz1AChP33n, 3BFxkzhkESwALQxjxOVFgJ, 7mOC6phfrfz3jfigg1aGsE, 79AHPJd8upvNxyK2qQcY8J, 7mOC6phfrfz3jfigg1aGsE, 7mOC6phfrfz3jfigg1aGsE, 7mOC6phfrfz3jfigg1aGsE, 37kP0yUo66nRnFHtC5rV1M, 5zFglKYiknIxks8geR8rcL, 3JR0ducCexKbeK47g6AHm5, 7mFj0LlWtEJaEigguaWqYh",0.6746690761993063,1.3199186145892732
2024-04-04,6IhG3Yxm3UW98jhyBvrIut,tekno,2085566.0,58.0,1290995.0,"afrobeats,afropop,nigerian hip hop,nigerian pop",2020.0,2023.0,20.0,1.0,Summer Vibes,4eZZofkV1OQ9GDqAgHqNpA,-0.16464355834011626,-0.3513899003920058
2024-04-28,3DGlTwdM5Dim9XQipb3jMf,jordan ward,1944047.0,57.0,170146.0,"indie hip hop,indie r&b",2017.0,2024.0,18.0,1.0,'fit check,"08vlprFBmwh9TQnjXUtZDG, 08vlprFBmwh9TQnjXUtZDG",-0.28769603778151154,-0.36176472677699734
2024-04-19,7aWpPjjgItUnXljFxYYKZI,deathbyromy,828881.0,51.0,87872.0,"alt z, dark pop, modern indie pop",2018.0,2024.0,20.0,4.0,New Noise,"6FvI7R1y1OX5xjfDc2ed5n, 1RKYSmVp2vSWumL9uI2sbd, 6FvI7R1y1OX5xjfDc2ed5n, 1RKYSmVp2vSWumL9uI2sbd",-0.2967284941548155,-0.4435180859757302
2024-04-12,7xLtt3vnhKGANQKpsaIMVa,chico blanco,110654.0,38.0,26165.0,urbano espanol,2020.0,2024.0,20.0,1.0,GLOW,"2qTIRmguqQTQaeWbDdeH31, 7iUV8f6vIZcmTi1hrdJ7Nx",-0.30350300111238976,-0.49617165496656057
2024-05-08,6mhw1MMBwP4wlOmYM3x9bp,yungin,140012.0,30.0,577.0,classical,2024.0,2024.0,1.0,2.0,KrOWN,6AcT7whSpUEaCncx24QFml,-0.3063121813355478,-0.49401940577733094
2024-05-07,3IJ21966TwNZI24MwZHMu4,baby tate,3748277.0,67.0,469114.0,trap queen,2015.0,2024.0,20.0,2.0,RapCaviar,1udwFobQ1JoOdWPQrp2b6u,-0.25487381670299425,-0.22949575223228402
2024-04-30,2PSJ6YriU7JsFucxACpU7Y,chung ha,2699074.0,59.0,2173478.0,k-pop,2019.0,2024.0,20.0,2.0,EQUAL K-Pop,"3WFTUAPrXvqg3SXC0bsukz, 3WFTUAPrXvqg3SXC0bsukz",-0.06776010551562267,-0.3064133319750202
2024-04-18,6tRT8DibGiNSkXViROkIBn,girl and girl,57598.0,31.0,6118.0,"rock , pop",2019.0,2024.0,14.0,1.0,Fresh Finds Rock,"7iGlDU6mQEOoGGSXHS4Zdy, 7iGlDU6mQEOoGGSXHS4Zdy",-0.3057038622947271,-0.500061216005588
2024-04-03,0bBrsS9ufPAmeFQgDNG54O,cehryl,137997.0,36.0,31896.0,bedroom soul,2016.0,2024.0,20.0,1.0,EQUAL,4cOWfl6IYophMuVhI6JfxY,-0.3028738229093681,-0.49416712640258803
